git clone https://github.com/easylist/easylist,none,2341
git clone https://github.com/DandelionSprout/adfilt,other,1592
git clone https://github.com/mchangrh/yt-neuter,unlicense,242
git clone https://github.com/hufilter/hufilter,cc-by-4.0,109
git clone https://github.com/tomasko126/easylistczechandslovak,cc-by-sa-4.0,103
git clone https://github.com/MrBukLau/filter-lists,unlicense,79
git clone https://github.com/hufilter/hufilter-old,cc-by-4.0,44
git clone https://github.com/the-advoid/ad-void,mit,41
git clone https://github.com/mediumkreation/IndianList,none,35
git clone https://github.com/NyeUsr/Blacklist,none,16
git clone https://github.com/Tyhjakuori/Personal-uBlock-filters,mit,10
