git clone https://github.com/AlexCeleste/ybc,other,122
git clone https://github.com/TVTower/TVTower,other,108
git clone https://github.com/bmx-ng/bmx-ng,none,107
git clone https://github.com/Kippykip/SBITools,unlicense,62
git clone https://github.com/mmatyas/GridWars,none,30
git clone https://github.com/bmx-ng/bmk,zlib,28
git clone https://github.com/si-design/minib3d,none,22
git clone https://github.com/markcwm/openb3d.mod,none,17
git clone https://github.com/Trylobot/sf-ship-ed,other,10
git clone https://github.com/missionpinball/showcreator,none,8
git clone https://github.com/GWRon/Dig,zlib,7
git clone https://github.com/kfprimm/prime.mod,none,7
git clone https://github.com/fenarinarsa/Nolife-Launch,none,6
git clone https://github.com/frameland/Scope-2D,none,6
