git clone https://github.com/HexHive/datAFLow,apache-2.0,111
git clone https://github.com/dariosanfilippo/concatenative_granulation,mit,45
git clone https://github.com/droosenb/faust-wdf-library,mit,32
git clone https://github.com/mi-creative/FaustPM_2021_examples,none,30
git clone https://github.com/rottingsounds/bitDSP-faust,mit,27
git clone https://github.com/nyanpasu64-backup/snes-echo,bsd-3-clause,20
git clone https://github.com/myklemykle/weather_organ,none,20
git clone https://github.com/trummerschlunk/master_me_legcy,none,18
git clone https://github.com/dariosanfilippo/limiterStereo,mit,16
git clone https://github.com/DISTRHO/Fadeli,isc,15
git clone https://github.com/Rickr922/echoplex-sim,none,14
git clone https://github.com/sozbtn/physical-modelling-percussion-instrument,none,10
git clone https://github.com/francescoganassin/FaustDSP-synths,none,10
git clone https://github.com/micbuffa/FaustPowerAmp,mit,9
git clone https://github.com/unicornsasfuel/levelrider,bsd-3-clause,9
git clone https://github.com/madskjeldgaard/mkfaustplugins,none,9
git clone https://github.com/dariosanfilippo/maximiser,mit,7
git clone https://github.com/jameslnrd/mi_introduction_workshop_2020,none,7
git clone https://github.com/spsvision/windturbines_FEA_CFD,none,7
git clone https://github.com/shakfu/pd-chuck,other,6
git clone https://github.com/Jikstra/faust-plugins,none,6
