git clone https://github.com/Frege/frege,other,3639
git clone https://github.com/mchav/froid,none,99
git clone https://github.com/Frege/frege-repl,none,78
git clone https://github.com/Dierk/Real_World_Frege,none,70
git clone https://github.com/y-taka-23/learn-you-a-frege,none,51
git clone https://github.com/Frege/FregeFX,bsd-3-clause,33
git clone https://github.com/fregelab/chinook,apache-2.0,27
git clone https://github.com/Dierk/frepl-gui,apache-2.0,25
git clone https://github.com/mmhelloworld/hello-play-frege,other,20
git clone https://github.com/Frege/frege-native-gen,none,17
git clone https://github.com/fregelab/sirocco,apache-2.0,16
git clone https://github.com/Frege/frege-interpreter,none,15
git clone https://github.com/carymrobbins/intellij-frege,apache-2.0,14
git clone https://github.com/mchav/GeoQuiz-Frege,none,11
git clone https://github.com/elrocqe/frege_programming,none,9
git clone https://github.com/Dierk/fregeTutorial,bsd-3-clause,9
git clone https://github.com/Frege/try-frege,none,8
git clone https://github.com/talios/frege-testing,none,8
git clone https://github.com/chanberg/atmt,mit,7
git clone https://github.com/mmhelloworld/fregelet,bsd-3-clause,6
git clone https://github.com/tfausak/fr2048,mit,6
