git clone https://github.com/kenjihiranabe/The-Art-of-Linear-Algebra,cc0-1.0,18502
git clone https://github.com/django/djangoproject.com,bsd-3-clause,1927
git clone https://github.com/adobe-fonts/source-han-code-jp,ofl-1.1,1670
git clone https://github.com/fossasia/sciencehack-artwork,unlicense,1481
git clone https://github.com/ryanoasis/powerline-extra-symbols,mit,1318
git clone https://github.com/voodootikigod/logo.js,mit,937
git clone https://github.com/EasyChart/Beautiful-Visualization-with-R,none,788
git clone https://github.com/cooplab/popgen-notes,mit,662
git clone https://github.com/dair-iitd/OpenIE-standalone,other,573
git clone https://github.com/djnavarro/rbook,none,486
git clone https://github.com/lmthang/thesis,none,467
git clone https://github.com/bwipp/postscriptbarcode,mit,467
git clone https://github.com/tLDP/LDP,none,458
git clone https://github.com/daly/axiom,none,373
git clone https://github.com/im-tomu/tomu-hardware,cc-by-sa-4.0,361
git clone https://github.com/easystats/effectsize,other,344
git clone https://github.com/barrracud4/image-upload-exploits,none,325
git clone https://github.com/konsav/social-icons,mit,304
git clone https://github.com/dectalk/dectalk,other,298
git clone https://github.com/cerebrobr/adesivos,none,267
git clone https://github.com/MagerValp/CreateUserPkg,none,264
git clone https://github.com/angea/PDF101,none,249
git clone https://github.com/openwebwork/webwork-open-problem-library,other,239
git clone https://github.com/john-b-schneider/uFDTD,none,237
git clone https://github.com/Euterpea/Euterpea,zlib,236
git clone https://github.com/adobe-fonts/adobe-blank,ofl-1.1,201
git clone https://github.com/liuchengxu/szuthesis,none,193
git clone https://github.com/csev/net-intro,none,192
git clone https://github.com/nodecopter/nodecopter.com,none,182
git clone https://github.com/noppa/text-security,ofl-1.1,173
git clone https://github.com/mattiasvillani/BayesLearnCourse,none,150
git clone https://github.com/Znuff/consolas-powerline,none,145
git clone https://github.com/mariuszostrowski/gesty,other,142
git clone https://github.com/CrumpLab/statistics,cc-by-sa-4.0,133
git clone https://github.com/shuwei1204/ZJUthesis,none,133
git clone https://github.com/adamchainz/treepoem,mit,132
git clone https://github.com/AllenDowney/ThinkCPP,none,130
git clone https://github.com/ARM-software/ebbr,cc-by-sa-4.0,116
git clone https://github.com/mmattamala/LogosFCFM,none,108
git clone https://github.com/m-takagi/aosa-ja,none,106
git clone https://github.com/cristoper/wav2vec,wtfpl,106
git clone https://github.com/mohamedameen93/CS-6210-Advanced-Operating-Systems-Notes,none,105
git clone https://github.com/drewnoakes/metadata-extractor-images,none,103
git clone https://github.com/tl3shi/THUBeamer,none,100
git clone https://github.com/hushidong/biblatex-solution-to-latex-bibliography,none,99
git clone https://github.com/python-xmp-toolkit/python-xmp-toolkit,other,93
git clone https://github.com/Azure/dev-community,cc-by-4.0,84
git clone https://github.com/braverock/PortfolioAnalytics,none,84
git clone https://github.com/RIVeR-Lab/apriltags_ros,none,83
git clone https://github.com/duojs/duojs.org,none,80
git clone https://github.com/masaleiro/HacKeyboard,none,79
git clone https://github.com/kalanda/photoduino,none,79
git clone https://github.com/summitgao/OUC-LaTex-bachelor,none,78
git clone https://github.com/tzaiyang/NEUBachelorThesis,none,75
git clone https://github.com/foodfight/showz,none,72
git clone https://github.com/introocean/introocean-en,other,69
git clone https://github.com/adobe-fonts/adobe-notdef,ofl-1.1,65
git clone https://github.com/kljensen/mit-phd-thesis,none,61
