git clone https://github.com/alibaba/x-deeplearning,apache-2.0,4270
git clone https://github.com/deseven/iCanHazShortcut,unlicense,394
git clone https://github.com/facebookresearch/DeepFovea,other,387
git clone https://github.com/alyssaxuu/ecosnap,mit,260
git clone https://github.com/sydney222/Python_CsiNet,none,253
git clone https://github.com/etiennepinchon/aframe-fonts,mit,215
git clone https://github.com/andrew-paglinawan/QuicksandFamily,ofl-1.1,170
git clone https://github.com/MrV2K/WHDLoad-Download-Tool,none,145
git clone https://github.com/jvitkauskas/Altera-Cyclone-IV-board-V3.0,none,121
git clone https://github.com/Ouxiaolong/ZigBee,none,107
git clone https://github.com/lisawray/fiftyshades,apache-2.0,103
git clone https://github.com/google/digitalassetlinks,apache-2.0,102
git clone https://github.com/HamedMP/tensorflow_export_cpp_example,none,88
git clone https://github.com/menelaoskanakis/ZippyPoint,mit,86
git clone https://github.com/amjltc295/VITON_realtime,none,85
git clone https://github.com/SicroAtGit/PB-CodeArchiv-Rebirth,other,77
git clone https://github.com/jungdj/AI-Effects,none,71
git clone https://github.com/HauyuChen/Parking-System,none,71
git clone https://github.com/marpie/signed-loaders,bsd-3-clause,67
git clone https://github.com/DanysysTeam/SFTA,mit,61
git clone https://github.com/redis-developer/redis-nvidia-recsys,bsd-3-clause,57
git clone https://github.com/Etayson/BSGS-cuda,none,55
git clone https://github.com/satyaborg/pose-estimation-detection,none,53
git clone https://github.com/KnollFrank/HowBadIsMyBatch,none,49
git clone https://github.com/SestoAle/DeepCrawl,mit,48
git clone https://github.com/dina-lab3D/NanoNet,other,45
git clone https://github.com/susiegriggo/Phynteny,mit,45
git clone https://github.com/MonicaRizzolli/Tomorrow,ofl-1.1,44
git clone https://github.com/Aksoylu/AI-DRAW,none,34
git clone https://github.com/mjpramirez/Volvo-DataX,mit,33
git clone https://github.com/kenmo-pb/includes,none,32
git clone https://github.com/jwkanggist/tf-tiny-pose-estimation,apache-2.0,32
git clone https://github.com/Hoeppner1867/PureBasic,mit,31
git clone https://github.com/keremvaris/NewGenFramework,mit,30
git clone https://github.com/galliot-us/models,apache-2.0,30
git clone https://github.com/deseven/iCanHazMusic,unlicense,30
git clone https://github.com/raymondlo84/nvidia-jetson-ai-monitor,apache-2.0,29
git clone https://github.com/bmvandoren/Nighthawk,other,27
git clone https://github.com/Dadido3/WebSocket_Server,mit,26
git clone https://github.com/a-ws-m/unlockNN,mit,25
git clone https://github.com/vincent1bt/Real-ESRGAN-TensorFlow,none,25
git clone https://github.com/tajmone/name-that-color,other,25
git clone https://github.com/duty1g/dty,mit,24
git clone https://github.com/RocketRider/GreenForce-Player,apache-2.0,24
git clone https://github.com/jono-m/OrganoID,none,24
git clone https://github.com/ShadowPic/PublicTestProjects,mit,23
git clone https://github.com/cristiklein/stateless-workstation-config,none,22
git clone https://github.com/PacktPublishing/Hands-on-Tensorflow-Lite-for-Intelligent-Mobile-Apps,mit,22
git clone https://github.com/mohit9949/Pose-Estimation-Similarity-With-TensorFlow,apache-2.0,21
git clone https://github.com/amirpandi/Deep_AMP,mit,21
git clone https://github.com/shenrunzhang/forex,none,21
git clone https://github.com/mpaillassa/MaxiMask,mit,20
git clone https://github.com/deseven/pbsamples,unlicense,20
git clone https://github.com/Jerri1977/___core48,none,20
git clone https://github.com/jdevfullstack/PureBasic-FileExplorer,mit,20
git clone https://github.com/nightwalker89/Collider,none,18
git clone https://github.com/keremvaris/CleanCodeDemo,none,18
git clone https://github.com/omegakode/PBWebview2,mit,17
git clone https://github.com/alexgavs/arm-iar-ts100-mod2.12,none,17
git clone https://github.com/D-a-n-i-l-o/raylib-purebasic,zlib,17
git clone https://github.com/Mirda81/Sudoku,none,17
git clone https://github.com/globalpolicy/PureBasicRAT,mit,17
git clone https://github.com/Jan125/pb.chordian,cc0-1.0,16
git clone https://github.com/chinmayembedded/Human-Activity-Recognition,apache-2.0,16
git clone https://github.com/Henry00IS/PureBasic,mit,16
git clone https://github.com/Digital-Umuganda/Deepspeech-Kinyarwanda,mpl-2.0,15
git clone https://github.com/Jithsaavvy/Deploying-an-end-to-end-keyword-spotting-model-into-cloud-server-by-integrating-CI-CD-pipeline,none,15
git clone https://github.com/startnew/dance_score_android,apache-2.0,15
git clone https://github.com/ONSdigital/highcharts-export-docker,none,15
git clone https://github.com/ChrisRfr/SweetyVD,mit,15
git clone https://github.com/Planet-AI-GmbH/tfaip-hybrid-ctc-s2s,mit,15
git clone https://github.com/epfl-ml4ed/evaluating-explainers,mit,15
git clone https://github.com/Sri-vatsa/Unit,mit,15
git clone https://github.com/patrik-ha/explainable-minichess,none,15
git clone https://github.com/Guevara-chan/Xors3D-for-PB,none,14
git clone https://github.com/bluemix/vibes-typeface,ofl-1.1,14
git clone https://github.com/djes/PBMap,none,14
git clone https://github.com/typesafehub/fdp-tensorflow-python-examples,none,14
git clone https://github.com/jdevfullstack/PureBasic-Scrabble,mit,13
git clone https://github.com/HauyuChen/ZigBee-WirelessFan,none,13
git clone https://github.com/Dadido3/Lua-PureBasic,none,13
git clone https://github.com/asujaykk/Road-segmentation-UNET-model,none,13
git clone https://github.com/ToniPB/distorm-PB,none,12
git clone https://github.com/rakanarmoush1/FaceMaskDetector,none,12
git clone https://github.com/marpie/a12d404.net-files,none,12
git clone https://github.com/AnkushMalaker/speech-emotion-recognition,none,12
git clone https://github.com/jdevfullstack/PureBasic-2D-Game,mit,11
git clone https://github.com/imos/rainynine,none,11
git clone https://github.com/Jieli12/AutoCPD,mit,11
git clone https://github.com/spiderbytes/SpiderBite,mit,11
git clone https://github.com/bgeraghty/RunProcessAsUser-ScreenConnect,none,11
git clone https://github.com/miranthajayatilake/Pose_Estimator,none,11
git clone https://github.com/AlexanderNaehring/TPFMM,none,11
git clone https://github.com/upes-open/OSC-Medical-Analysis-Application-Using-ML,none,11
git clone https://github.com/rektide/compfuzor,none,11
git clone https://github.com/saswat0/Workout-buddy,none,10
git clone https://github.com/mehrdad-dev/anxiety-predict,none,10
git clone https://github.com/jlacombe/learning-to-generate-wasserstein-barycenters,none,10
git clone https://github.com/kosmosmo/StandGen_mrcnn,none,10
git clone https://github.com/Guevara-chan/Difference-Engine,none,10
git clone https://github.com/PrudhvirajuChekuri/EmoViz,mit,10
git clone https://github.com/niraljshah/Fall_Detection,apache-2.0,10
git clone https://github.com/A-Stangeland/SolarDetection,mit,10
git clone https://github.com/JulienLeprince/hierarchicallearning,mit,9
git clone https://github.com/athevinha/capcha-detection,none,9
git clone https://github.com/Syr0/Joe-s-Purebasic-Automation-Lib,none,9
git clone https://github.com/kochlisGit/Deep-Trainer,other,9
git clone https://github.com/silvialava/Deep_quadratic_hedging,none,9
git clone https://github.com/tajmone/PBasmUI,mit,9
git clone https://github.com/nomad-software/purebasic-a-beginners-guide,other,9
git clone https://github.com/Fonthausen/Pacifico,ofl-1.1,9
git clone https://github.com/ChrisRfr/ObjectColor-Dark-Mode,mit,9
git clone https://github.com/akamicah/puresilo,mit,9
git clone https://github.com/anishreddy3/tf-openpose-baseball-pitcher,none,9
git clone https://github.com/mestnyi33/widget,none,9
git clone https://github.com/tunerok/milandr_vscode_win_ocd,mit,9
git clone https://github.com/Guevara-chan/Slippery-Clip,none,8
git clone https://github.com/Heribert17/PureBasic_libraries,none,8
git clone https://github.com/drkostas/LSTMs-Training-Demo,apache-2.0,8
git clone https://github.com/asperti/MicroRacer,mit,8
git clone https://github.com/codeperfectplus/autoEncoders,mit,8
git clone https://github.com/ECNUSR/PureConvSR-AIM2022,none,8
git clone https://github.com/gabzai/Conditional-Variational-Autoencoder-based-Stochastic-Attacks,none,8
git clone https://github.com/cyrealtype/Marmelad-Cyrillic,ofl-1.1,8
git clone https://github.com/codeprof/small-PureBasic-projects,none,8
git clone https://github.com/PurePortable/PurePortable,none,8
git clone https://github.com/SicroAtGit/RegEx-Engine,mit,8
git clone https://github.com/ognjenkundacina/graph-neural-network-state-estimation,none,8
git clone https://github.com/LastLifeLeft/Inputify,cc-by-sa-4.0,8
git clone https://github.com/mirkousuelli/CNN-Leaves-Classifier,none,8
git clone https://github.com/jzhang-github/HECC_phase_prediction,none,8
git clone https://github.com/kpzhang/ImageEmotionDetection,none,7
git clone https://github.com/neha191091/human-segmentation,none,7
git clone https://github.com/TroaX/PBExpress,none,7
git clone https://github.com/umut-demirhan/Radar-aided-blockage-prediction,other,7
git clone https://github.com/Iagea/DECIMER-Image-Classifier,none,7
git clone https://github.com/TechPrimers/gradle-custom-plugin-example,none,7
git clone https://github.com/xinluo2018/Earth-Engine-with-Deep-Learning,none,7
git clone https://github.com/cd-athena/MoViDNN,other,7
git clone https://github.com/loucass003/futura-face-server,none,7
git clone https://github.com/dhis2/dhis2-identity,none,7
git clone https://github.com/Dadido3/D3classic,mit,7
git clone https://github.com/aziascreations/PB-Utils,wtfpl,7
git clone https://github.com/flaith-nycd/bcob-ide,none,7
git clone https://github.com/Kron4ek/releases-downloader,mit,7
