git clone https://github.com/bdrister/AquaticPrime,none,310
git clone https://github.com/tempelmann/custom-editfield,none,28
git clone https://github.com/arbp/WFS,mit,25
git clone https://github.com/charonn0/RB-libcURL,mit,22
git clone https://github.com/carlbennett/BNRBot,mit,13
git clone https://github.com/charonn0/RB-libvlc,bsd-3-clause,12
git clone https://github.com/charonn0/RB-FTP,mit,10
git clone https://github.com/lbmonsalve/Xojo-SVGDocument,mit,9
git clone https://github.com/bellenuit/subtitler,none,8
git clone https://github.com/charonn0/RB-zlib,other,7
git clone https://github.com/charonn0/RB-libssh2,mit,7
git clone https://github.com/tempelmann/OpenLingua,none,7
git clone https://github.com/charonn0/RB-libsodium,bsd-3-clause,6
