git clone https://github.com/smeup/jariko,apache-2.0,66
git clone https://github.com/SJLennon/IBM-i-RPG-Free-CLP-Code,none,40
git clone https://github.com/IBM/xmlservice,bsd-3-clause,35
git clone https://github.com/MarinaSchwenk/IBMiUnit,other,34
git clone https://github.com/tom-writes-code/rpgle-repl,mit,26
git clone https://github.com/worksofliam/migrate,mit,22
git clone https://github.com/tools400/log4rpg,none,20
git clone https://github.com/IBM/ibmi-company_system,mit,16
git clone https://github.com/IBM/bob-recursive-example,mit,15
git clone https://github.com/FrenchIBMi/Outils,none,11
git clone https://github.com/PantalonOrange/SendObjects-IBMi,mit,11
git clone https://github.com/BrianGarland/CRTFRMSTMF,mit,11
git clone https://github.com/NielsLiisberg/ILEcurl,apache-2.0,9
git clone https://github.com/RainerRoss/Send-SMS-with-Twilio-from-IBM-i,mit,9
git clone https://github.com/worksofliam/company_system,none,7
git clone https://github.com/ibmiiste/I_builder,none,6
git clone https://github.com/worksofliam/gitcm,mit,6
git clone https://github.com/barrettotte/Anilist-IBMi,mit,6
