git clone https://github.com/ColinLeung-NiloCat/UnityURPToonLitShaderExample,mit,6648
git clone https://github.com/candycat1992/Unity_Shaders_Book,none,5634
git clone https://github.com/QianMo/Awesome-Unity-Shader,none,4006
git clone https://github.com/unity3d-jp/UnityChanToonShaderVer2_Project,none,3897
git clone https://github.com/elringus/sprite-glow,mit,2314
git clone https://github.com/UnityTechnologies/ShaderGraph_ExampleLibrary,none,1814
git clone https://github.com/csdjk/LearnUnityShader,none,1509
git clone https://github.com/poiyomi/PoiyomiToonShader,mit,1329
git clone https://github.com/ColinLeung-NiloCat/UnityURPUnlitScreenSpaceDecalShader,mit,1274
git clone https://github.com/keijiro/TestbedHDRP,unlicense,1228
git clone https://github.com/Xibanya/ShaderTutorials,other,1198
git clone https://github.com/lilxyzw/lilToon,mit,1014
git clone https://github.com/ronja-tutorials/ShaderTutorials,none,985
git clone https://github.com/danielshervheim/unity-stylized-water,bsd-3-clause,952
git clone https://github.com/IronWarrior/UnityOutlineShader,unlicense,900
git clone https://github.com/TwoTailsGames/Unity-Built-in-Shaders,mit,891
git clone https://github.com/IronWarrior/UnityToonShader,unlicense,876
git clone https://github.com/MirzaBeig/Post-Processing-Scan,unlicense,852
git clone https://github.com/IronWarrior/UnityGrassGeometryShader,unlicense,840
git clone https://github.com/Sorumi/UnityFurShader,apache-2.0,839
git clone https://github.com/IronWarrior/ToonWaterShader,unlicense,794
git clone https://github.com/phi-lira/UniversalShaderExamples,none,789
git clone https://github.com/JiepengTan/FishManShaderTutorial,mit,779
git clone https://github.com/KaimaChen/Unity-Shader-Demo,none,723
git clone https://github.com/marcozakaria/URP-LWRP-Shaders,mit,651
git clone https://github.com/judah4/HSV-Color-Picker-Unity,mit,643
git clone https://github.com/GarrettGunnell/Post-Processing,mit,643
git clone https://github.com/Chaser324/unity-wireframe,none,607
git clone https://github.com/WorldOfZero/UnityVisualizations,apache-2.0,598
git clone https://github.com/UnityTechnologies/InputSystem_Warriors,none,577
git clone https://github.com/Dandarawy/Unity3DCrossSectionShader,bsd-3-clause,575
git clone https://github.com/PandaArcade/UIOutline,unlicense,537
git clone https://github.com/ellioman/ShaderProject,none,535
git clone https://github.com/yoship1639/UniToon,mit,528
git clone https://github.com/danielzeller/Lowpoly-Water-Unity,mit,503
git clone https://github.com/IRCSS/MatrixVFX,mit,497
git clone https://github.com/setchi/Unity-ShaderSketches,mit,489
git clone https://github.com/mopsicus/uis,mit,471
git clone https://github.com/Centribo/Unity-Shader-Basics-Tutorial,none,470
git clone https://github.com/ColinLeung-NiloCat/UnityURP-BillboardLensFlareShader,mit,468
git clone https://github.com/chenjd/UnitySpecialEffectWithDepth,mit,461
git clone https://github.com/devdogio/sci-fi-ui,mit,461
git clone https://github.com/keijiro/DepthInverseProjection,none,458
git clone https://github.com/SebLague/Neural-Network-Experiments,mit,456
git clone https://github.com/chenjd/Unity-Miscellaneous-Shaders,mit,453
git clone https://github.com/lindenreid/Unity-Shader-Tutorials,other,440
git clone https://github.com/Delt06/urp-toon-shader,mit,416
git clone https://github.com/DawnosaurDev/platformer-movement,mit,408
git clone https://github.com/supyrb/ConfigurableShaders,mit,407
git clone https://github.com/fabriziospadaro/SpriteSheetRenderer,other,386
git clone https://github.com/llealloo/audiolink,other,382
git clone https://github.com/keijiro/ShadowDrawer,none,370
git clone https://github.com/demonixis/SSGI-URP,mit,370
git clone https://github.com/Shrimpey/UltimateOutline,mit,366
