git clone https://github.com/DSPBluePrints/FactoryBluePrints,none,1394
git clone https://github.com/DSPBluePrints/DysonSphereBluePrints,none,375
git clone https://github.com/tomhea/flip-jump,bsd-2-clause,112
git clone https://github.com/SnowletTV/Invictus,other,24
git clone https://github.com/SystemJargon/blocklists,none,20
git clone https://github.com/giellalt/lang-crk,other,15
git clone https://github.com/SystemJargon/pi-hole,mit,13
git clone https://github.com/giellalt/lang-esu,other,12
git clone https://github.com/ayuusweetfish/tilde-seq,mit,9
git clone https://github.com/giellalt/lang-srs,other,8
git clone https://github.com/bahaisongproject/bahai-songs,mit,6
